STATE/UT,YEAR,STATE AND YEAR,POPULATION,LITERACY RATE,AREA (in sq. km),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged,Crimes Against Women,TOTAL IPC CRIMES
NAGALAND,2001,NAGALAND2001,1990036,66.59,16579,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1,310,,21,0,561,29678250,11,129,163,258,561,0,0,0,29,1234
ODISHA,2001,ODISHA2001,36804660,63.08,155707,987,1151,53,790,0,790,522,434,88,199,22,958,3093,5622,817,4805,1426,285,681,10,423,4367,294,1655,458,1266,0,1589,20810,1734,734,,212,11,9872,187558275,199,958,3093,5622,9872,3,4,0,4897,46661
PUNJAB,2001,PUNJAB2001,24358999,69.65,50362,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,134,0,,24,95,5101,300415230,45,131,1902,3023,5101,11,5,0,2328,27774
RAJASTHAN,2001,RAJASTHAN2001,56507188,60.41,342239,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,4892,1023,,2883,26,25172,551391050,60,889,7284,16939,25172,4,3,0,12057,155185
SIKKIM,2001,SIKKIM2001,540851,68.81,7096,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,6,6,,15,2,153,3285263,0,3,76,74,153,,,,24,444
TAMIL NADU,2001,TAMIL NADU2001,62405679,73.45,130060,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,2336,9,,626,34,23504,416683131,158,672,5965,16709,23504,,,,4835,154801
TRIPURA,2001,TRIPURA2001,3199203,73.19,10486,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2,0,,20,17,546,10600429,26,63,198,259,546,,,,438,2801
UTTAR PRADESH,2001,UTTAR PRADESH2001,166197921,57.36,240928,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,10732,254,,150,57,40152,1342018407,905,3825,8411,27011,40152,15,53,0,19858,178129
UTTARAKHAND,2001,UTTARAKHAND2001,8489349,71.62,53566,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,168,18,,5,7,2175,48986057,32,191,533,1419,2175,1,0,0,744,8073
WEST BENGAL,2001,WEST BENGAL2001,80176197,68.64,88752,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,10,2,,25,18,15605,297894274,274,660,426,14245,15605,0,0,0,6533,61563
A & N ISLANDS,2001,A & N ISLANDS2001,356152,81.3,8249,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,0,1,,,0,133,1957510,0,4,64,65,133,,,,34,658
CHANDIGARH,2001,CHANDIGARH2001,900635,81.94,114,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3,0,,66,3,1920,47992609,5,22,364,1529,1920,1,0,0,146,3397
D & N HAVELI,2001,D & N HAVELI2001,220451,57.63,491,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,0,6,,2,0,81,3065362,0,2,34,45,81,,,,19,350
DAMAN & DIU,2001,DAMAN & DIU2001,158204,78.18,112,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,0,0,,2,0,83,3707732,0,0,43,40,83,,,,7,239
LAKSHADWEEP,2001,LAKSHADWEEP2001,60650,86.66,32,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,0,0,,1,0,11,105790,0,0,1,10,11,,,,0,36
PUDUCHERRY,2001,PUDUCHERRY2001,974345,81.24,479,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,13,0,,3,0,644,10234351,1,4,111,528,644,,,,78,4068
ANDHRA PRADESH,2002,ANDHRA PRADESH2002,77722774,62.66,275045,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,3385,525,,1466,55,27695,462165830,197,648,7628,19222,27695,26,14,0,15146,143610
ARUNACHAL PRADESH,2002,ARUNACHAL PRADESH2002,1119093,56.94,83743,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,0,87,,132,0,762,30808825,22,96,249,395,762,,,,159,2228
